42	42	42	38	0	0	0	0	0	0	11	30	13	42	42	26	0	0	0	0	0	22	19	24	17	26	42	42	13	0	31	42	9	34	42	42	42	4	39	42	1
42	42	42	38	0	0	0	0	0	0	11	30	13	42	42	26	0	0	0	0	0	22	19	24	17	26	42	42	13	0	31	42	9	34	42	42	42	4	39	42	1
42	42	42	38	0	0	0	0	0	0	11	30	13	42	42	26	0	0	0	0	0	22	19	24	17	26	42	42	13	0	31	42	9	34	42	42	42	4	39	42	1
38	38	38	42	4	4	4	4	4	4	7	34	9	38	38	30	4	4	4	4	4	18	23	20	21	22	38	38	17	4	27	38	13	30	38	38	38	8	35	38	5
0	0	0	4	42	42	42	42	42	42	31	12	29	0	0	16	42	42	42	42	42	20	23	18	25	16	0	0	29	42	11	0	33	8	0	0	0	38	3	0	41
0	0	0	4	42	42	42	42	42	42	31	12	29	0	0	16	42	42	42	42	42	20	23	18	25	16	0	0	29	42	11	0	33	8	0	0	0	38	3	0	41
0	0	0	4	42	42	42	42	42	42	31	12	29	0	0	16	42	42	42	42	42	20	23	18	25	16	0	0	29	42	11	0	33	8	0	0	0	38	3	0	41
0	0	0	4	42	42	42	42	42	42	31	12	29	0	0	16	42	42	42	42	42	20	23	18	25	16	0	0	29	42	11	0	33	8	0	0	0	38	3	0	41
0	0	0	4	42	42	42	42	42	42	31	12	29	0	0	16	42	42	42	42	42	20	23	18	25	16	0	0	29	42	11	0	33	8	0	0	0	38	3	0	41
0	0	0	4	42	42	42	42	42	42	31	12	29	0	0	16	42	42	42	42	42	20	23	18	25	16	0	0	29	42	11	0	33	8	0	0	0	38	3	0	41
11	11	11	7	31	31	31	31	31	31	42	1	40	11	11	5	31	31	31	31	31	31	12	29	14	27	11	11	18	31	22	11	22	19	11	11	11	27	14	11	30
30	30	30	34	12	12	12	12	12	12	1	42	1	30	30	38	12	12	12	12	12	10	31	12	29	14	30	30	25	12	19	30	21	22	30	30	30	16	27	30	13
13	13	13	9	29	29	29	29	29	29	40	1	42	13	13	3	29	29	29	29	29	33	10	31	12	29	13	13	16	29	24	13	20	21	13	13	13	25	16	13	28
42	42	42	38	0	0	0	0	0	0	11	30	13	42	42	26	0	0	0	0	0	22	19	24	17	26	42	42	13	0	31	42	9	34	42	42	42	4	39	42	1
42	42	42	38	0	0	0	0	0	0	11	30	13	42	42	26	0	0	0	0	0	22	19	24	17	26	42	42	13	0	31	42	9	34	42	42	42	4	39	42	1
26	26	26	30	16	16	16	16	16	16	5	38	3	26	26	42	16	16	16	16	16	6	35	8	33	10	26	26	29	16	15	26	25	18	26	26	26	20	23	26	17
0	0	0	4	42	42	42	42	42	42	31	12	29	0	0	16	42	42	42	42	42	20	23	18	25	16	0	0	29	42	11	0	33	8	0	0	0	38	3	0	41
0	0	0	4	42	42	42	42	42	42	31	12	29	0	0	16	42	42	42	42	42	20	23	18	25	16	0	0	29	42	11	0	33	8	0	0	0	38	3	0	41
0	0	0	4	42	42	42	42	42	42	31	12	29	0	0	16	42	42	42	42	42	20	23	18	25	16	0	0	29	42	11	0	33	8	0	0	0	38	3	0	41
0	0	0	4	42	42	42	42	42	42	31	12	29	0	0	16	42	42	42	42	42	20	23	18	25	16	0	0	29	42	11	0	33	8	0	0	0	38	3	0	41
0	0	0	4	42	42	42	42	42	42	31	12	29	0	0	16	42	42	42	42	42	20	23	18	25	16	0	0	29	42	11	0	33	8	0	0	0	38	3	0	41
22	22	22	18	20	20	20	20	20	20	31	10	33	22	22	6	20	20	20	20	20	42	1	40	3	38	22	22	7	20	33	22	11	30	22	22	22	16	25	22	19
19	19	19	23	23	23	23	23	23	23	12	31	10	19	19	35	23	23	23	23	23	1	42	1	40	3	19	19	36	23	8	19	32	11	19	19	19	27	16	19	24
24	24	24	20	18	18	18	18	18	18	29	12	31	24	24	8	18	18	18	18	18	40	1	42	1	40	24	24	5	18	35	24	9	32	24	24	24	14	27	24	17
17	17	17	21	25	25	25	25	25	25	14	29	12	17	17	33	25	25	25	25	25	3	40	1	42	1	17	17	38	25	6	17	34	9	17	17	17	29	14	17	26
26	26	26	22	16	16	16	16	16	16	27	14	29	26	26	10	16	16	16	16	16	38	3	40	1	42	26	26	3	16	37	26	7	34	26	26	26	12	29	26	15
42	42	42	38	0	0	0	0	0	0	11	30	13	42	42	26	0	0	0	0	0	22	19	24	17	26	42	42	13	0	31	42	9	34	42	42	42	4	39	42	1
42	42	42	38	0	0	0	0	0	0	11	30	13	42	42	26	0	0	0	0	0	22	19	24	17	26	42	42	13	0	31	42	9	34	42	42	42	4	39	42	1
13	13	13	17	29	29	29	29	29	29	18	25	16	13	13	29	29	29	29	29	29	7	36	5	38	3	13	13	42	29	2	13	38	5	13	13	13	33	10	13	30
0	0	0	4	42	42	42	42	42	42	31	12	29	0	0	16	42	42	42	42	42	20	23	18	25	16	0	0	29	42	11	0	33	8	0	0	0	38	3	0	41
31	31	31	27	11	11	11	11	11	11	22	19	24	31	31	15	11	11	11	11	11	33	8	35	6	37	31	31	2	11	42	31	2	39	31	31	31	7	34	31	10
42	42	42	38	0	0	0	0	0	0	11	30	13	42	42	26	0	0	0	0	0	22	19	24	17	26	42	42	13	0	31	42	9	34	42	42	42	4	39	42	1
9	9	9	13	33	33	33	33	33	33	22	21	20	9	9	25	33	33	33	33	33	11	32	9	34	7	9	9	38	33	2	9	42	1	9	9	9	37	6	9	34
34	34	34	30	8	8	8	8	8	8	19	22	21	34	34	18	8	8	8	8	8	30	11	32	9	34	34	34	5	8	39	34	1	42	34	34	34	4	37	34	7
42	42	42	38	0	0	0	0	0	0	11	30	13	42	42	26	0	0	0	0	0	22	19	24	17	26	42	42	13	0	31	42	9	34	42	42	42	4	39	42	1
42	42	42	38	0	0	0	0	0	0	11	30	13	42	42	26	0	0	0	0	0	22	19	24	17	26	42	42	13	0	31	42	9	34	42	42	42	4	39	42	1
42	42	42	38	0	0	0	0	0	0	11	30	13	42	42	26	0	0	0	0	0	22	19	24	17	26	42	42	13	0	31	42	9	34	42	42	42	4	39	42	1
4	4	4	8	38	38	38	38	38	38	27	16	25	4	4	20	38	38	38	38	38	16	27	14	29	12	4	4	33	38	7	4	37	4	4	4	4	42	1	4	39
39	39	39	35	3	3	3	3	3	3	14	27	16	39	39	23	3	3	3	3	3	25	16	27	14	29	39	39	10	3	34	39	6	37	39	39	39	1	42	39	2
42	42	42	38	0	0	0	0	0	0	11	30	13	42	42	26	0	0	0	0	0	22	19	24	17	26	42	42	13	0	31	42	9	34	42	42	42	4	39	42	1
1	1	1	5	41	41	41	41	41	41	30	13	28	1	1	17	41	41	41	41	41	19	24	17	26	15	1	1	30	41	10	1	34	7	1	1	1	39	2	1	42
