62	53	50	45	1	1	0	2	2	1	7	24	10	24	28	23	0	0	2	0	0	9	15	9	18	10	24	32	15	0	19	32	19	16	37	48	45	17	29	37	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
53	62	49	44	0	0	0	2	2	0	6	26	9	27	27	19	0	0	1	0	0	10	18	10	19	11	29	33	13	0	20	34	17	19	39	41	40	15	28	36	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	49	62	43	0	0	0	0	2	0	8	29	11	35	34	27	0	0	1	0	0	13	18	13	22	13	28	36	17	0	22	39	21	23	39	39	43	17	21	40	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	44	43	62	3	3	3	3	4	4	5	27	6	28	30	27	3	3	3	2	2	8	17	8	22	11	26	27	17	2	17	33	20	19	39	35	39	22	22	35	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
1	0	0	3	62	60	52	43	33	50	37	9	45	0	0	12	48	36	33	30	27	19	11	15	12	15	0	0	25	47	19	0	19	16	0	0	0	22	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
1	0	0	3	60	62	52	45	35	48	39	9	43	0	0	11	50	38	33	32	25	18	10	14	11	14	0	0	24	47	18	0	19	16	0	0	0	22	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
0	0	0	3	52	52	62	44	32	46	39	9	39	0	0	12	46	32	31	30	27	23	13	19	14	19	0	0	24	43	14	0	15	16	0	0	0	20	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
2	2	0	3	43	45	44	62	41	46	39	8	36	0	0	9	48	40	35	34	30	19	12	17	13	16	0	0	18	43	14	0	21	17	0	4	0	23	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
2	2	2	4	33	35	32	41	62	33	30	9	23	0	1	12	41	40	41	42	37	18	16	15	17	16	0	0	18	35	17	0	18	14	1	5	4	25	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
1	0	0	4	50	48	46	46	33	62	39	10	42	0	0	13	42	34	33	30	31	24	10	20	12	20	0	0	21	39	15	0	20	17	0	0	0	20	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
7	6	8	5	37	39	39	39	30	39	62	1	45	8	9	2	40	28	27	27	22	31	8	25	9	28	6	9	11	31	22	8	12	23	5	6	7	14	18	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
24	26	29	27	9	9	9	8	9	10	1	62	1	38	32	49	5	4	6	3	5	8	35	9	35	13	40	39	37	5	16	33	28	16	32	22	21	18	9	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
10	9	11	6	45	43	39	36	23	42	45	1	62	7	11	3	36	25	22	22	25	33	6	26	7	28	10	12	16	39	28	9	11	28	8	6	9	13	22	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
24	27	35	28	0	0	0	0	0	0	8	38	7	62	40	37	0	1	0	0	0	16	23	15	28	17	45	46	28	0	17	39	18	24	43	26	26	19	14	35	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	27	34	30	0	0	0	0	1	0	9	32	11	40	62	34	0	0	0	0	1	17	30	15	27	22	45	45	20	0	19	38	22	19	33	24	24	13	15	36	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
23	19	27	27	12	11	12	9	12	13	2	49	3	37	34	62	8	6	8	5	8	5	36	6	35	8	34	38	43	8	12	30	27	13	31	23	20	25	7	25	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
0	0	0	3	48	50	46	48	41	42	40	5	36	0	0	8	62	47	41	40	35	21	15	18	18	17	0	0	18	49	18	0	23	16	0	0	0	29	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
0	0	0	3	36	38	32	40	40	34	28	4	25	1	0	6	47	62	43	47	44	25	15	22	17	23	0	0	13	43	24	0	25	20	1	2	1	28	20	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26
2	1	1	3	33	33	31	35	41	33	27	6	22	0	0	8	41	43	62	47	40	22	14	20	15	22	0	0	12	38	23	0	22	16	0	4	3	29	19	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
0	0	0	2	30	32	30	34	42	30	27	3	22	0	0	5	40	47	47	62	47	24	15	22	17	23	0	0	12	33	21	0	22	17	0	2	1	21	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
