77	3	5	1	12	0	1	1	7	7	25	1	18	69	62	34	53	48	43	69	53	25	34	32	41	66	70	71	66	48	41	38	5	35	42	1	0	33	63	54	28	47	31	28	33	46	60	27	31	31	21	30	57	27	56	36	41	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	77	55	63	52	63	62	61	55	72	45	65	39	2	10	20	12	16	16	3	17	32	23	27	16	4	3	2	6	22	18	29	56	22	32	58	65	33	7	13	30	19	38	37	26	18	8	29	28	25	35	28	8	33	15	28	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	55	77	67	58	67	64	69	64	53	46	65	47	4	11	35	17	24	26	6	20	42	37	40	31	5	5	5	6	25	32	32	58	34	30	65	67	39	11	17	39	27	35	43	39	25	11	41	40	37	50	40	14	42	22	38	29	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	63	67	77	63	75	72	75	64	61	50	75	47	1	8	25	12	19	21	2	16	36	27	31	22	2	1	1	3	19	24	32	60	27	32	67	71	37	6	12	36	22	42	41	32	19	7	37	30	29	44	33	9	36	16	30	20	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	52	58	63	77	61	62	63	56	50	60	61	40	12	18	35	24	29	32	12	22	38	37	39	29	13	10	12	14	27	29	35	55	29	32	57	60	34	16	24	39	27	40	38	39	23	19	38	38	31	54	44	19	38	19	37	29	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	63	67	75	61	77	74	75	66	61	48	75	49	0	7	25	11	18	21	1	15	36	27	31	22	1	0	0	2	18	24	31	60	27	31	69	73	38	5	11	36	21	40	42	32	18	6	37	30	29	44	33	8	36	15	30	20	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	62	64	72	62	74	77	72	68	60	48	72	49	2	8	27	13	20	23	3	15	38	29	33	22	2	0	2	3	20	26	33	61	27	32	67	70	35	5	13	38	23	41	39	34	18	8	39	32	31	46	35	10	38	13	31	22	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	61	69	75	63	75	72	77	66	59	49	73	49	1	8	27	12	19	23	2	16	36	29	33	24	2	1	1	3	20	25	33	60	28	31	69	73	37	6	12	38	22	40	41	34	19	7	39	32	31	46	35	9	38	16	32	21	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	55	64	64	56	66	68	66	77	51	45	64	54	6	10	33	18	25	27	8	17	41	34	38	28	5	4	7	6	25	29	36	61	29	32	62	64	34	10	18	43	28	37	39	39	20	12	44	37	36	51	40	14	41	18	33	27	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	72	53	61	50	61	60	59	51	77	43	63	43	6	9	23	15	14	21	7	14	31	22	24	20	8	7	6	8	19	22	27	51	26	30	56	63	37	12	12	27	23	36	40	23	22	13	26	31	22	32	27	12	30	19	25	18	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
