28	7	8	8	7	9	10	8	7	9	11	8	7	5	6	4	4	4	5	5	3	2	1	3	3	3	5
7	28	1	9	24	3	1	2	6	4	2	7	11	9	1	6	9	3	2	2	0	0	0	0	0	0	2
8	1	28	15	4	25	25	22	18	17	21	17	15	5	0	0	1	3	0	0	0	0	0	0	0	0	0
8	9	15	28	8	16	17	17	16	14	15	14	16	5	1	3	1	0	1	0	0	0	0	0	0	0	1
7	24	4	8	28	6	4	2	3	5	2	7	9	9	1	6	8	3	2	2	0	0	0	0	0	0	1
9	3	25	16	6	28	24	21	17	16	20	14	16	4	0	1	0	2	0	0	0	0	0	0	0	0	0
10	1	25	17	4	24	28	23	21	18	21	14	16	4	0	0	1	1	0	0	0	0	0	0	0	0	0
8	2	22	17	2	21	23	28	19	19	21	17	15	5	0	0	1	0	0	0	0	0	0	0	0	0	1
7	6	18	16	3	17	21	19	28	16	17	14	19	4	0	3	2	2	0	0	0	0	0	0	0	0	1
9	4	17	14	5	16	18	19	16	28	12	13	13	4	3	1	3	1	3	3	1	1	0	1	0	0	3
11	2	21	15	2	20	21	21	17	12	28	14	15	5	0	0	2	3	1	0	0	0	0	0	0	0	1
8	7	17	14	7	14	14	17	14	13	14	28	9	7	1	1	1	3	1	2	0	0	0	0	0	0	3
7	11	15	16	9	16	16	15	19	13	15	9	28	4	0	4	1	1	0	0	0	0	0	0	0	0	0
5	9	5	5	9	4	4	5	4	4	5	7	4	28	8	6	13	7	13	14	6	5	8	7	6	6	10
6	1	0	1	1	0	0	0	0	3	0	1	0	8	28	7	13	12	17	18	20	18	20	21	19	20	14
4	6	0	3	6	1	0	0	3	1	0	1	4	6	7	28	6	14	14	13	13	14	15	13	12	13	13
4	9	1	1	8	0	1	1	2	3	2	1	1	13	13	6	28	11	18	14	11	10	14	12	12	10	12
4	3	3	0	3	2	1	0	2	1	3	3	1	7	12	14	11	28	13	13	14	16	15	14	15	16	11
5	2	0	1	2	0	0	0	0	3	1	1	0	13	17	14	18	13	28	21	16	14	18	17	15	14	17
5	2	0	0	2	0	0	0	0	3	0	2	0	14	18	13	14	13	21	28	15	12	16	14	12	14	23
3	0	0	0	0	0	0	0	0	1	0	0	0	6	20	13	11	14	16	15	28	24	24	23	25	24	13
2	0	0	0	0	0	0	0	0	1	0	0	0	5	18	14	10	16	14	12	24	28	24	25	25	26	10
1	0	0	0	0	0	0	0	0	0	0	0	0	8	20	15	14	15	18	16	24	24	28	25	23	24	12
3	0	0	0	0	0	0	0	0	1	0	0	0	7	21	13	12	14	17	14	23	25	25	28	24	23	10
3	0	0	0	0	0	0	0	0	0	0	0	0	6	19	12	12	15	15	12	25	25	23	24	28	25	12
3	0	0	0	0	0	0	0	0	0	0	0	0	6	20	13	10	16	14	14	24	26	24	23	25	28	12
5	2	0	1	1	0	0	1	1	3	1	3	0	10	14	13	12	11	17	23	13	10	12	10	12	12	28
