22	16	11	15	16	14	13	1	1	1	1	1	0	3	3	0	0	0	0	0	0
16	22	12	16	16	13	14	1	1	1	0	0	1	1	2	0	1	0	1	0	2
11	12	22	10	9	14	9	1	0	1	1	1	0	2	0	2	2	2	2	1	2
15	16	10	22	13	12	10	1	3	2	2	2	3	5	3	1	0	0	0	0	1
16	16	9	13	22	13	9	1	2	4	0	0	2	2	3	0	0	0	0	0	2
14	13	14	12	13	22	11	0	1	1	0	0	1	1	1	0	0	0	0	1	1
13	14	9	10	9	11	22	6	4	0	3	4	4	4	6	0	0	0	1	4	6
1	1	1	1	1	0	6	22	18	9	9	13	11	13	13	4	1	1	1	10	17
1	1	0	3	2	1	4	18	22	9	9	12	15	15	13	4	0	0	0	7	17
1	1	1	2	4	1	0	9	9	22	4	8	5	9	9	13	9	8	8	4	8
1	0	1	2	0	0	3	9	9	4	22	9	12	8	7	8	11	11	11	10	6
1	0	1	2	0	0	4	13	12	8	9	22	10	9	10	7	6	5	4	11	10
0	1	0	3	2	1	4	11	15	5	12	10	22	12	9	3	5	5	5	8	11
3	1	2	5	2	1	4	13	15	9	8	9	12	22	12	4	0	0	0	4	14
3	2	0	3	3	1	6	13	13	9	7	10	9	12	22	4	3	2	4	7	14
0	0	2	1	0	0	0	4	4	13	8	7	3	4	4	22	15	17	15	9	3
0	1	2	0	0	0	0	1	0	9	11	6	5	0	3	15	22	20	20	8	0
0	0	2	0	0	0	0	1	0	8	11	5	5	0	2	17	20	22	20	10	0
0	1	2	0	0	0	1	1	0	8	11	4	5	0	4	15	20	20	22	8	1
0	0	1	0	0	1	4	10	7	4	10	11	8	4	7	9	8	10	8	22	7
0	2	2	1	2	1	6	17	17	8	6	10	11	14	14	3	0	0	1	7	22
